k_1,b,ndcg_cut_10,ndcg_cut_5,p_10
0.1,0.1,0.1547712350524748,0.1219877455175407,0.082886904761905
0.1,0.2,0.1584319306668086,0.1253960588611394,0.0849702380952383
0.1,0.3,0.1642459827257767,0.1302750465349471,0.0872023809523811
0.1,0.4,0.1672938285255562,0.13426205574331,0.0885416666666669
0.1,0.5,0.1713890674006488,0.1390908189194751,0.0901785714285716
0.1,0.6,0.1760316224947541,0.1432364989361324,0.0915178571428573
0.1,0.7,0.1756128048293021,0.1436706959644215,0.0913690476190478
0.1,0.8,0.1793945635199967,0.1432600946542368,0.0947916666666669
0.1,0.9,0.1775659025335856,0.1439675644312721,0.0931547619047621
0.1,1.0,0.1679207406908458,0.1340368426935146,0.0912202380952383
0.2,0.1,0.1549087976823379,0.1220417945032641,0.0830357142857145
0.2,0.2,0.1581465104568883,0.1249896598297996,0.0848214285714288
0.2,0.3,0.1638586221857836,0.1298140986496038,0.0869047619047621
0.2,0.4,0.1669391551296174,0.1339847259652997,0.0883928571428573
0.2,0.5,0.17088962269218,0.1382360483971278,0.0900297619047621
0.2,0.6,0.1758547364012361,0.1430319531110446,0.0915178571428573
0.2,0.7,0.1755976259281829,0.1433232409151171,0.0913690476190478
0.2,0.8,0.1795290597334997,0.1438150225437098,0.0952380952380954
0.2,0.9,0.1768685219676105,0.1431667502324677,0.0931547619047621
0.2,1.0,0.1677653612119911,0.1329222607028867,0.0918154761904764
0.3,0.1,0.1543211846315669,0.1210266884335149,0.0830357142857145
0.3,0.2,0.1579475402962753,0.1243891738406254,0.0849702380952383
0.3,0.3,0.1640565109700077,0.1305042328714353,0.0870535714285716
0.3,0.4,0.1666903406312781,0.1339984553647091,0.0880952380952383
0.3,0.5,0.1710337375857245,0.1378153608032061,0.0901785714285716
0.3,0.6,0.175493995120925,0.1418696615384845,0.0915178571428573
0.3,0.7,0.1758934393694879,0.1440592032594861,0.0915178571428573
0.3,0.8,0.179408814271736,0.1439395441405812,0.0947916666666669
0.3,0.9,0.1771252220586346,0.1433244903457646,0.0933035714285716
0.3,1.0,0.1676943917554215,0.1326832936749427,0.0919642857142859
0.4,0.1,0.1542068016231201,0.1203927709996376,0.0833333333333335
0.4,0.2,0.1579376616728983,0.1244806689650078,0.0849702380952383
0.4,0.3,0.1631228970981774,0.1303485505127649,0.0867559523809526
0.4,0.4,0.1664168472650688,0.1341994407633901,0.0877976190476192
0.4,0.5,0.1712964063109227,0.1378414311704563,0.0900297619047621
0.4,0.6,0.1750051882166873,0.1419464158059337,0.0912202380952383
0.4,0.7,0.176007368016945,0.1439922452484258,0.0916666666666669
0.4,0.8,0.179145149973459,0.1434193489818896,0.0946428571428573
0.4,0.9,0.1771930392172338,0.1427117371539324,0.0934523809523811
0.4,1.0,0.1678157050818793,0.1318770716058575,0.092261904761905
0.5,0.1,0.1543353673986578,0.1204703378339784,0.0833333333333335
0.5,0.2,0.1580045638900245,0.1245769997976878,0.0848214285714288
0.5,0.3,0.1630134707333305,0.1304249683146172,0.0864583333333335
0.5,0.4,0.166007535359633,0.1338833799657546,0.0875000000000002
0.5,0.5,0.1715374262871061,0.1384676432112431,0.0901785714285716
0.5,0.6,0.1754292196972929,0.1425755999671429,0.0916666666666669
0.5,0.7,0.1760859259892084,0.144231760458194,0.0915178571428573
0.5,0.8,0.179964105280129,0.1441008644693357,0.0949404761904764
0.5,0.9,0.1775604246619296,0.1425191424483148,0.0936011904761906
0.5,1.0,0.1675307632991554,0.132054676550602,0.0919642857142859
0.6,0.1,0.1544847913028516,0.1204245760677326,0.0834821428571431
0.6,0.2,0.1585320356000372,0.125113524439475,0.0851190476190478
0.6,0.3,0.1635981075043006,0.1300828399334634,0.0870535714285716
0.6,0.4,0.1665155276201137,0.1342659049671507,0.0877976190476192
0.6,0.5,0.1714645283098514,0.1383062522382619,0.0903273809523811
0.6,0.6,0.1757606798716186,0.1427013952633248,0.0919642857142859
0.6,0.7,0.1759740593092963,0.1438624522830138,0.0916666666666669
0.6,0.8,0.1808269523794126,0.1443319579600046,0.0953869047619049
0.6,0.9,0.1781903732684645,0.1424569416901913,0.0938988095238097
0.6,1.0,0.1675047804744546,0.1319986886712225,0.092261904761905
0.7,0.1,0.1547458540251282,0.120535011936315,0.0836309523809526
0.7,0.2,0.1588899223618895,0.125274187449876,0.0852678571428574
0.7,0.3,0.163755192578717,0.1301816454520479,0.0873511904761907
0.7,0.4,0.1666042872307657,0.1344575003998571,0.0877976190476192
0.7,0.5,0.1712512718009637,0.1381439336727792,0.0901785714285716
0.7,0.6,0.1756978732391239,0.1422663989249026,0.0916666666666669
0.7,0.7,0.1760927220148651,0.1438045573204022,0.0918154761904764
0.7,0.8,0.1806789897635874,0.1440936139281884,0.0955357142857145
0.7,0.9,0.1778768233390253,0.1420410433098889,0.0938988095238097
0.7,1.0,0.1667385069394273,0.1326466063965578,0.0913690476190478
0.8,0.1,0.1551716087644057,0.1204246104650918,0.0839285714285716
0.8,0.2,0.159822792598651,0.1254777421486686,0.086011904761905
0.8,0.3,0.1640893472767602,0.1303458223172806,0.0875000000000002
0.8,0.4,0.1668715134573177,0.1345337549847819,0.0877976190476192
0.8,0.5,0.1709181455443173,0.1383519101555183,0.0897321428571431
0.8,0.6,0.1759391687853411,0.1423206658868057,0.0916666666666669
0.8,0.7,0.1759027344439119,0.1438916805755116,0.0918154761904764
0.8,0.8,0.1803886271177396,0.144019258928067,0.0953869047619049
0.8,0.9,0.1775777912257463,0.1411286177754979,0.0938988095238097
0.8,1.0,0.166940967373367,0.1323747104513783,0.0916666666666669
0.9,0.1,0.1542534736933298,0.1203314651567828,0.083482142857143
0.9,0.2,0.1594803218058654,0.1246250422812829,0.086011904761905
0.9,0.3,0.1640949055047755,0.129741642328755,0.0876488095238097
0.9,0.4,0.1667997472032621,0.1340662559760955,0.0879464285714288
0.9,0.5,0.1710240172297581,0.1382911079061247,0.0897321428571431
0.9,0.6,0.175505070079992,0.1428387350658013,0.0913690476190478
0.9,0.7,0.1755858780579982,0.1437859029062211,0.0919642857142859
0.9,0.8,0.1799788000622245,0.1434627556022588,0.0953869047619049
0.9,0.9,0.1779415875878701,0.1417231388637762,0.0940476190476192
0.9,1.0,0.1672264129842892,0.1325336208688951,0.0919642857142859
1.0,0.1,0.1542618859227331,0.1197489942011403,0.0836309523809526
1.0,0.2,0.1597676913324709,0.1243663529727623,0.0861607142857145
1.0,0.3,0.1645737194651551,0.1300046238438377,0.0877976190476192
1.0,0.4,0.1663009399716855,0.1335665685925574,0.0876488095238097
1.0,0.5,0.1704397147549368,0.1386273828076985,0.0892857142857145
1.0,0.6,0.1746261993062258,0.1428216285422073,0.0909226190476192
1.0,0.7,0.1755503515968365,0.1436042036481352,0.0918154761904764
1.0,0.8,0.1795578802829575,0.1431730910068917,0.0953869047619049
1.0,0.9,0.1780853989856194,0.1419620176196082,0.0943452380952382
1.0,1.0,0.1676701616214793,0.132613746694194,0.092261904761905
1.1,0.1,0.1540658473795135,0.1199018375471492,0.0830357142857145
1.1,0.2,0.1586052505635581,0.1235404709957059,0.0857142857142859
1.1,0.3,0.1637875922200324,0.1301310696057615,0.0873511904761907
1.1,0.4,0.1658142762426503,0.1333453895958654,0.0876488095238097
1.1,0.5,0.1709490136576168,0.1391713352663213,0.0892857142857145
1.1,0.6,0.1744075580743843,0.1427376241633473,0.0907738095238097
1.1,0.7,0.1756420746089671,0.1437699478361748,0.0919642857142859
1.1,0.8,0.1792076953101449,0.1429589290020438,0.0949404761904764
1.1,0.9,0.1781858166465936,0.1423480414548293,0.0944940476190478
1.1,1.0,0.1673904596421554,0.132192420156828,0.092261904761905
1.2,0.1,0.1539714164829436,0.1199546483761514,0.0830357142857145
1.2,0.2,0.1591646035635774,0.124076140985931,0.0858630952380954
1.2,0.3,0.163597343302585,0.1296312385234699,0.0870535714285716
1.2,0.4,0.1656873685166268,0.1329567102699623,0.0877976190476192
1.2,0.5,0.1706164212842694,0.1389437455492634,0.0891369047619049
1.2,0.6,0.1744961104753571,0.1428033678360788,0.0906250000000002
1.2,0.7,0.1753333622846472,0.1427420079029503,0.0918154761904764
1.2,0.8,0.1798591660706418,0.1432122316787532,0.0953869047619049
1.2,0.9,0.1778553850125135,0.1422058768247214,0.0941964285714287
1.2,1.0,0.167368882101375,0.1317592586436479,0.0919642857142859
1.3,0.1,0.1537199118677446,0.1198467174393736,0.0827380952380954
1.3,0.2,0.1588724874951468,0.1241208357336936,0.0857142857142859
1.3,0.3,0.1640280119892553,0.1298624799253266,0.0876488095238097
1.3,0.4,0.1656656515602431,0.1332038336839621,0.0877976190476192
1.3,0.5,0.1707825087803413,0.1390713471323583,0.0889880952380954
1.3,0.6,0.1739921084230753,0.1427244082371989,0.0904761904761907
1.3,0.7,0.176170245134851,0.1431662791856366,0.0916666666666669
1.3,0.8,0.1801260594719387,0.1440893666252097,0.0953869047619049
1.3,0.9,0.1772022853457718,0.142302426790578,0.0937500000000002
1.3,1.0,0.1670721556541341,0.131919028290455,0.0918154761904764
1.4,0.1,0.1537286448092796,0.1198382295680347,0.0827380952380954
1.4,0.2,0.1592445982712893,0.1240110013129426,0.086011904761905
1.4,0.3,0.16340063885783,0.1297575807389817,0.0873511904761907
1.4,0.4,0.1658392247454231,0.1318324231880734,0.0883928571428573
1.4,0.5,0.1714606235471628,0.1392662883609433,0.089434523809524
1.4,0.6,0.1742964359820143,0.1422437621230216,0.0909226190476192
1.4,0.7,0.175982234808351,0.1433261810020552,0.0915178571428573
1.4,0.8,0.179780518505974,0.1442696966078818,0.0949404761904764
1.4,0.9,0.1767503705382447,0.1418790070308327,0.0934523809523811
1.4,1.0,0.1668675485021835,0.1322645286055908,0.0915178571428573
1.5,0.1,0.1537643910046751,0.1205991518305919,0.0827380952380954
1.5,0.2,0.1587826211045372,0.1237960992305272,0.0852678571428573
1.5,0.3,0.1628285924554369,0.1290160367678955,0.0870535714285716
1.5,0.4,0.1659598715687319,0.1311924956825864,0.0885416666666669
1.5,0.5,0.1707999768915634,0.1385648875074079,0.0895833333333335
1.5,0.6,0.1733732567561372,0.1422403232431702,0.0906250000000002
1.5,0.7,0.1762986428589779,0.1436688923158519,0.0915178571428573
1.5,0.8,0.1797592478167543,0.1441127247508758,0.0949404761904764
1.5,0.9,0.176684428654047,0.1414580935145658,0.0930059523809525
1.5,1.0,0.1669561407699785,0.1322826079997006,0.0916666666666669
1.6,0.1,0.1538061581568946,0.120643207066852,0.0827380952380954
1.6,0.2,0.1587708441228326,0.1237249991620473,0.0854166666666669
1.6,0.3,0.1620409139193031,0.1285122267297024,0.086607142857143
1.6,0.4,0.1665544254415431,0.1314477290024668,0.0886904761904764
1.6,0.5,0.1703014339342996,0.1384102029512105,0.0895833333333335
1.6,0.6,0.173418297006808,0.1424711109906243,0.0906250000000002
1.6,0.7,0.1751015972042998,0.1423451098359434,0.0913690476190478
