mu,ndcg_cut_10,ndcg_cut_5,p_10
100,0.174347262161309,0.1385581163276145,0.0938988095238097
200,0.169024559436431,0.1374115654872768,0.0892857142857144
300,0.1682352555569123,0.1358819313566253,0.0883928571428573
400,0.1633541303754892,0.1323084798324215,0.0860119047619049
500,0.1613371176559428,0.1323339472042632,0.0846726190476192
600,0.161401502773627,0.13104448081764,0.0846726190476193
700,0.1597116249153408,0.1292280765838502,0.0836309523809526
800,0.1580274734761338,0.1273129324543937,0.0830357142857145
900,0.157283637503822,0.1257573828333898,0.0822916666666669
1000,0.1559297007039761,0.1254047241033414,0.0812500000000002
1100,0.1548653753014981,0.1255052784961252,0.0802083333333336
1200,0.1533480565124669,0.1246517232955334,0.0796130952380955
1300,0.152599554698411,0.1234659834427166,0.079761904761905
1400,0.1517464896912576,0.1222636519446513,0.0793154761904764
1500,0.1508576567569213,0.1213709864313362,0.0787202380952383
1600,0.1485916962900831,0.1189923453175168,0.0781250000000002
1700,0.1478349491884168,0.119289512561531,0.076934523809524
1800,0.1468223980953763,0.1180882466550079,0.076636904761905
1900,0.1465572753454511,0.1178653987503444,0.076636904761905
2000,0.1453212322274883,0.1170089253981865,0.0758928571428574
2100,0.1449103337890293,0.1167229397746011,0.0757440476190478
2200,0.1439234037291307,0.1163270852447878,0.0752976190476193
2300,0.1435006505936881,0.1164459557309646,0.0748511904761907
2400,0.1430985551511525,0.1162449113738629,0.0748511904761907
2500,0.1430149481270287,0.1159821528135304,0.0748511904761907
2600,0.1430803042112114,0.1160238161355536,0.0750000000000002
2700,0.1422578201796808,0.1150974120263266,0.0748511904761907
2800,0.1423292477832253,0.1149402865032416,0.0750000000000002
2900,0.1419379972056226,0.1147492377517304,0.0747023809523812
3000,0.1420070263178662,0.114042137415918,0.0750000000000002
